state,blood_a,blood_b,blood_ab,blood_o,blood_a_std,blood_b_std,blood_ab_std,blood_o_std,cluster
Johor,14.616961012995668,16.49516827724092,3.1794401866044653,25.582972342552484,11.990959165604508,13.51548304475342,3.092845971561449,20.164492608755115,1
Kedah,18.40186567164179,20.661753731343282,4.7833955223880595,29.016044776119404,12.070378780946449,13.137606640883753,3.3423641422828183,18.046707144696004,2
Kelantan,7.782901331805814,8.053415437491049,1.905341543749105,11.812687956465702,8.189506375173568,8.552792197543729,2.4534751588836192,11.782553142562028,0
Melaka,15.001877053026748,15.757078054121695,3.6608790865008602,24.408728296574377,12.335614829511067,12.79554090515089,3.2887905024892863,19.328790904955085,1
Negeri Sembilan,9.712459156130132,10.637874698110528,2.3332859781218924,16.465975280579627,9.678256988258635,10.45245220602701,2.7087501769929254,15.45388689669778,0
Pahang,7.966077537058153,8.790193842645381,1.9985746864310148,12.6153078677309,9.52450361598856,10.524120652805513,2.591393886164781,14.837916005309314,0
Perak,16.428011586300904,18.29255409780201,4.013801329016868,27.092349633668427,12.420578190765207,13.692620155777899,3.37897893636692,19.650490498718952,2
Pulau Pinang,10.435102301790282,11.218190537084398,2.515505115089514,17.14977621483376,12.884766605458656,13.9055807159091,3.3268160749366156,20.76266348506081,1
Sabah,12.683761984477249,13.754070917668544,2.770658956018871,28.373002587125246,9.363152442075135,10.06545230362514,2.491488800991757,17.999935610653296,0
Sarawak,11.89372681825512,14.581841638445413,3.256732785034672,20.532978551846476,10.22112743902133,12.248954631949728,3.055752940481621,16.807119775348987,1
Selangor,13.329443855129565,15.15426579784816,3.3618730110622823,22.46294893165631,10.335562590184193,11.264308925317533,2.9126894468028537,16.659840078703716,1
Terengganu,9.918461760878994,11.376319213531877,2.76319213531878,15.87971664016192,9.51480545824261,10.799285055266987,2.8672203747722294,14.606858421063631,0
W.P. Kuala Lumpur,26.54920634920635,28.57777777777778,6.004761904761905,44.25238095238095,13.67054872306831,14.294522330696484,3.411144578569975,20.310658484109826,2
